verdant:   adj. Green with vegetation. 
autumnal:   adj. Of or pertaining to autumn. 
witticism:   n. A witty, brilliant, or original saying or sentiment. 
unguent:   n. Any ointment or lubricant for local application. 
morose:   adj. Gloomy. 
betimes:   adv. In good season or time. 
conservative:   adj. Adhering to the existing order of things. 
populace:   n. The common people. 
contrivance:   n. The act planning, devising, inventing, or adapting something to or for a special purpose. 
denouement:   n. That part of a play or story in which the mystery is cleared up. 
incoercible:   adj. Incapable of being forced, constrained, or compelled. 
brae:   n. Hillside. 
contributor:   n. One who gives or furnishes, in common with others, for a common purpose. 
intercessor:   n. A mediator. 
impertinence:   n. Rudeness. 
lifetime:   n. The time that life continues. 
affect:   v. To act upon 
dastard:   n. A base coward. 
exasperate:   v. To excite great anger in. 
personage:   n. A man or woman as an individual, especially one of rank or high station. 
convenience:   n. Fitness, as of time or place. 
critique:   n. A criticism or critical review. 
indignity:   n. Unmerited contemptuous conduct or treatment. 
protrusion:   n. The act of protruding. 
clothier:   n. One who makes or sells cloth or clothing. 
drowsy:   adj. Heavy with sleepiness. 
arbiter:   n. One chosen or appointed, by mutual consent of parties in dispute, to decide matters. 
persuade:   v. To win the mind of by argument, eloquence, evidence, or reflection. 
ambitious:   adj. Eagerly desirous and aspiring. 
complicate:   v. To make complex, difficult, or hard to deal with. 
novellette:   n. A short novel. 
apposition:   n. The act of placing side by side, together, or in contact. 
weal:   n. Well-being. 
stanza:   n. A group of rimed lines, usually forming one of a series of similar divisions in a poem. 
atomizer:   n. An apparatus for reducing a liquid to a fine spray, as for disinfection, inhalation, etc. 
domicile:   n. The place where one lives. 
desert:   v. To abandon without regard to the welfare of the abandoned
extempore:   adv. Without studied or special preparation. 
instructive:   adj. Conveying knowledge. 
luscious:   adj. Rich, sweet, and delicious. 
album:   n. A book whose leaves are so made to form paper frames for holding photographs or the like. 
reimburse:   v. To pay back as an equivalent of what has been expended. 
jubilation:   n. Exultation. 
extemporaneous:   adj. Done or made without much or any preparation. 
redundant:   adj. Constituting an excess. 
emergent:   adj. Coming into view. 
prosody:   n. The science of poetical forms. 
reorganize:   v. To change to a more satisfactory form of organization. 
psychic:   adj. Pertaining to the mind or soul. 
bibliography:   n. A list of the words of an author, or the literature bearing on a particular subject. 
interlocutor:   n. One who takes part in a conversation or oral discussion. 
bulbous:   adj. Of, or pertaining to, or like a bulb. 
flexible:   adj. Pliable. 
insufficiency:   n. Inadequacy. 
intestate:   adj. Not having made a valid will. 
conscientious:   adj. Governed by moral standard. 
urbanity:   n. Refined or elegant courtesy. 
transcend:   v. To surpass. 
mercenary:   adj. Greedy 
vacate:   v. To leave. 
implausible:   adj. Not plausible. 
eligible:   adj. Qualified for selection. 
neopaganism:   n. A new or revived paganism. 
rebellious:   adj. Insubordinate. 
violator:   n. One who transgresses. 
expulsion:   n. Forcible ejection. 
ordnance:   n. A general name for all kinds of weapons and their appliances used in war. 
prudence:   n. Caution. 
rue:   v. To regret extremely. 
divest:   v. To strip, specifically of clothes, ornaments, or accouterments or disinvestment. 
arrogate:   v. To take, demand, or claim, especially presumptuously or without reasons or grounds. 
epigram:   n. A pithy phrasing of a shrewd observation. 
opportunity:   n. Favorable or advantageous chance or opening. 
imperative:   adj. Obligatory. 
whereupon:   adv. After which. 
wearisome:   adj. Fatiguing. 
curt:   adj. Concise, compressed, and abrupt in act or expression. 
gyrate:   v. To revolve. 
conveyance:   n. That by which anything is transported. 
teem:   v. To be full to overflowing. 
christen:   v. To name in baptism. 
powerless:   adj. Impotent. 
obstetrician:   n. A practitioner of midwifery. 
officiate:   v. To act as an officer or leader. 
embolism:   n. An obstruction or plugging up of an artery or other blood-vessel. 
hygiene:   n. The branch of medical science that relates to improving health. 
absolve:   v. To free from sin or its penalties. 
onset:   n. An assault, especially of troops, upon an enemy or fortification. 
placid:   adj. Serene. 
nutritive:   adj. Having nutritious properties. 
intimacy:   n. Close or confidential friendship. 
uproot:   v. To eradicate. 
corpuscle:   n. A minute particle of matter. 
requite:   v. To repay either good or evil to, as to a person. 
adjudge:   v. To award or bestow by formal decision. 
ameliorate:   v. To relieve, as from pain or hardship 
ineffable:   adj. Unutterable. 
penetrate:   v. To enter or force a way into the interior parts of. 
reprehend:   v. To find fault with. 
festive:   adj. Merry. 
postdate:   v. To make the date of any writing later than the real date. 
intestine:   n. That part of the digestive tube below or behind the stomach, extending to the anus. 
choleric:   adj. Easily provoked to anger. 
parse:   v. To describe, as a sentence, by separating it into its elements and describing each word. 
peerless:   adj. Of unequaled excellence or worth. 
Artesian:   well n. A very deep bored well. water rises due to underground pressure 
navigate:   v. To traverse by ship. 
oratorio:   n. A composition for solo voices, chorus, and orchestra, generally taken from the Scriptures. 
moralize:   v. To render virtuous. 
regretful:   adj. Feeling, expressive of, or full of regret. 
numeration:   n. The act or art of reading or naming numbers. 
emit:   v. To send or give out. 
caucus:   n. A private meeting of members of a political party to select candidates. 
priggish:   adj. Conceited. 
cabalism:   n. Superstitious devotion to one's religion. 
solicitude:   n. Uneasiness of mind occasioned by desire, anxiety, or fear. 
predominance:   n. Ascendancy or preponderance. 
up-keep:   n. Maintenance. 
vestment:   n. Clothing or covering. 
quarto:   n. An eight-page newspaper of any size. 
forepeak:   n. The extreme forward part of a ship's hold, under the lowest deck. 
paradox:   n. A statement or doctrine seemingly in contradiction to the received belief. 
hibernal:   adj. Pertaining to winter. 
enthrall:   v. To bring or hold under any overmastering influence. 
symphony:   n. A harmonious or agreeable mingling of sounds. 
postgraduate:   adj. Pertaining to studies that are pursued after receiving a degree. 
wherewith:   n. The necessary means or resources. 
cantonment:   n. The part of the town or district in which the troops are quartered. 
munificence:   n. A giving characterized by generous motives and extraordinary liberality. 
perjury:   n. A solemn assertion of a falsity. 
negligent:   adj. Apt to omit what ought to be done. 
obsolete:   adj. No longer practiced or accepted. 
operate:   v. To put in action and supervise the working of. 
advocacy:   n. The act of pleading a cause. 
undulous:   adj. Resembling waves. 
Newtonian:   adj. Of or pertaining to Sir Isaac Newton, the English philosopher. 
Achillean:   adj. Invulnerable. 
infidelity:   n. Disloyalty. 
baleful:   adj. Malignant. 
reestablish:   v. To restore. 
stratagem:   n. Any clever trick or device for obtaining an advantage. 
inference:   n. The derivation of a judgment from any given material of knowledge on the ground of law. 
linguistics:   n. The science of languages, or of the origin, history, and significance of words. 
condolence:   n. Expression of sympathy with a person in pain, sorrow, or misfortune. 
lingua:   n. The tongue. 
derivation:   n. That process by which a word is traced from its original root or primitive form and meaning. 
gesticulate:   v. To make gestures or motions, as in speaking, or in place of speech. 
rejoin:   v. To reunite after separation. 
wittingly:   adv. With knowledge and by design. 
apparent:   adj. Easily understood. 
irreducible:   adj. That can not be lessened. 
felonious:   adj. Showing criminal or evil purpose. 
baton:   n. An official staff borne either as a weapon or as an emblem of authority or privilege. 
mendicant:   n. A beggar. 
transact:   v. To do business. 
salient:   adj. Standing out prominently. 
retrospect:   n. A view or contemplation of something past. 
occurrence:   n. A happening. 
ambulate:   v. To walk about 
extensor:   n. A muscle that causes extension. 
peevish:   adj. Petulant. (irritable) 
bombard:   v. To assail with any missile or with abusive speech. 
preferment:   n. Preference. 
tactics:   n. Any maneuvering or adroit management for effecting an object. 
repetition:   n. The act of repeating. 
disrobe:   v. To unclothe. 
intrepid:   adj. Fearless and bold. 
indelible:   adj. That can not be blotted out, effaced, destroyed, or removed. 
kingship:   n. Royal state. 
incompetent:   adj. Not having the abilities desired or necessary for any purpose. 
bridle:   n. The head-harness of a horse consisting of a head-stall, a bit, and the reins. 
pungent:   adj. Affecting the sense of smell. 
moat:   n. A ditch on the outside of a fortress wall. 
frizzle:   v. To cause to crinkle or curl, as the hair. 
overpass:   v. To pass across or over, as a river. 
malleable:   adj. Pliant. 
approbation:   n. Sanction. 
alleviate:   v. To make less burdensome or less hard to bear. 
confederate:   n. One who is united with others in a league, compact, or agreement. 
burgess:   n. In colonial times, a member of the lower house of the legislature of Maryland or Virginia. 
vale:   n. Level or low land between hills. 
amateur:   adj. Practicing an art or occupation for the love of it, but not as a profession. 
capillary:   n. A minute vessel having walls composed of a single layer of cells. 
distort:   v. To twist into an unnatural or irregular form. 
ornate:   adj. Ornamented to a marked degree. 
votary:   adj. Consecrated by a vow or promise. 
admonition:   n. Gentle reproof. 
enlist:   v. To enter voluntarily the military service by formal enrollment. 
pretext:   n. A fictitious reason or motive. 
empower:   v. To delegate authority to. 
apposite:   adj. Appropriate. 
bilingual:   adj. Speaking two languages. 
nationality:   n. A connection with a particular nation. 
bestrew:   v. To sprinkle or cover with things strewn. 
transverse:   adj. Lying or being across or in a crosswise direction. 
orthopedic:   adj. Relating to the correcting or preventing of deformity 
precipitate:   v. To force forward prematurely. 
boll:   n. A round pod or seed-capsule, as a flax or cotton. 
precedential:   adj. Of the nature of an instance that may serve as a guide or basis for a rule. 
technique:   n. Manner of performance. 
element:   n. A component or essential part. 
continuation:   n. Prolongation. 
divination:   n. The pretended forecast of future events or discovery of what is lost or hidden. 
dialectician:   n. A logician. 
vista:   n. A view or prospect. 
Elizabethan:   adj. Relating to Elizabeth, queen of England, or to her era. 
nettle:   v. To excite sensations of uneasiness or displeasure in. 
maltreat:   v. To treat ill, unkindly, roughly, or abusively. 
cower:   v. To crouch down tremblingly, as through fear or shame. 
indignant:   adj. Having such anger and scorn as is aroused by meanness or wickedness. 
castigate:   v. To punish. 
verity:   n. Truth. 
quarrelsome:   adj. Irascible. 
prostrate:   adj. Lying prone, or with the head to the ground. 
languor:   n. Lassitude of body or depression. 
drastic:   adj. Acting vigorously. 
ingenuity:   n. Cleverness in contriving, combining, or originating. 
rescind:   v. To make void, as an act, by the enacting authority or a superior authority. 
hazard:   n. Risk. 
default:   n. The neglect or omission of a legal requirement. 
frolicsome:   adj. Prankish. 
reflectible:   adj. Capable of being turned back. 
monastery:   n. A dwelling-place occupied in common by persons under religious vows of seclusion. 
beneficent:   adj. Characterized by charity and kindness. 
reciprocity:   n. Equal mutual rights and benefits granted and enjoyed. 
noisome:   adj. Very offensive, particularly to the sense of smell. 
gosling:   n. A young goose. 
absent-minded:   adj. Lacking in attention to immediate surroundings or business. 
aversion:   n. A mental condition of fixed opposition to or dislike of some particular thing. 
crematory:   adj. A place for cremating dead bodies. 
edify:   v. To build up, or strengthen, especially in morals or religion. 
deportment:   n. Demeanor. 
militate:   v. To have weight or influence (in determining a question). 
uncommon:   adj. Rare. 
nominee:   n. One who receives a nomination. 
reaction:   n. Tendency towards a former, or opposite state of things, as after reform, revolution, or inflation.
precaution:   n. A provision made in advance for some possible emergency or danger. 
cohere:   v. To stick together. 
odorous:   adj. Having an odor, especially a fragrant one. 
repine:   v. To indulge in fretfulness and faultfinding. 
irritant:   n. A mechanical, chemical, or pathological agent of inflammation, pain, or tension. 
perversity:   n. Wickedness. 
utilitarianism:   n. The ethical doctrine that actions are right because they are useful or of beneficial tendency.
accept:   v. To take when offered. 
torpor:   n. Apathy. 
despite:   prep. In spite of. 
simulate:   v. Imitate. 
anatomy:   n. That branch of morphology which treats of the structure of organisms. 
heptagon:   n. A figure having seven sides and seven angles. 
dissemble:   v. To hide by pretending something different. 
intermission:   n. A recess. 
chameleon:   adj. Changeable in appearance. 
subversion:   n. An overthrow, as from the foundation. 
foursome:   adj. Consisting of four. 
brigadier:   n. General officer who commands a brigade, ranking between a colonel and a major-general. 
aforesaid:   adj. Said in a preceding part or before. 
tremor:   n. An involuntary trembling or shivering. 
redundance:   n. Excess. 
grandeur:   n. The quality of being grand or admirably great. 
mediocre:   adj. Ordinary. 
undeceive:   v. To free from deception, as by apprising of the real state of affairs. 
incite:   v. To rouse to a particular action. 
rhetoric:   n. The art of discourse. 
forth:   adv. Into notice or view. 
indiscriminate:   adj. Promiscuous. 
Pariah:   n. A member of a degraded class; a social outcast. 
protrude:   v. To push out or thrust forth. 
beget:   v. To produce by sexual generation. 
prehensile:   adj. Adapted for grasping or holding. 
allude:   v. To refer incidentally, or by suggestion. 
besmear:   v. To smear over, as with any oily or sticky substance. 
efficiency:   n. The state of possessing adequate skill or knowledge for the performance of a duty. 
salvage:   n. Any act of saving property. 
mannerism:   n. Constant or excessive adherence to one manner, style, or peculiarity, as of action or conduct. 
innuendo:   n. Insinuation. 
observant:   adj. Quick to notice. 
anonymous:   adj. Of unknown authorship. 
liberate:   v. To set free or release from bondage. 
metamorphosis:   n. A passing from one form or shape into another. 
alcove:   n. A covered recess connected with or at the side of a larger room. 
opprobrium:   n. The state of being scornfully reproached or accused of evil. 
anew:   adv. Once more. 
deport:   v. To take or send away forcibly, as to a penal colony. 
cosmography:   n. The science that describes the universe, including astronomy, geography, and geology. 
monopoly:   n. The control of a thing, as a commodity, to enable a person to raise its price. 
admissible:   adj. Having the right or privilege of entry. 
feminine:   adj. Characteristic of woman or womankind. 
executor:   n. A person nominated by the will of another to execute the will. 
outrageous:   adj. Shocking in conduct. 
curator:   n. A person having charge as of a library or museum. 
neglectful:   adj. Exhibiting or indicating omission. 
altar:   n. Any raised place or structure on which sacrifices may be offered or incense burned. 
disinfect:   v. To remove or destroy the poison of infectious or contagious diseases. 
coronet:   n. Inferior crown denoting, according to its form, various degrees of noble rank less than sovereign.
reliance:   n. Dependence. 
minion:   n. A servile favorite. 
factious:   adj. Turbulent. 
claimant:   n. One who makes a claim or demand, as of right. 
prejudice:   n. A judgment or opinion formed without due examination of the facts. 
intramural:   adj. Situated within the walls of a city. 
virtuoso:   n. A master in the technique of some particular fine art. 
agrarian:   adj. Pertaining to land, especially agricultural land. 
retroactive:   adj. Operative on, affecting, or having reference to past events, transactions, responsibilities. 
idiosyncrasy:   n. A mental quality or habit peculiar to an individual. 
bestial:   adj. Animal. 
sophisticate:   v. To deprive of simplicity of mind or manner. 
folio:   n. A sheet of paper folded once, or of a size adapted to folding once. 
emeritus:   adj. Retired from active service but retained to an honorary position. 
purl:   v. To cause to whirl, as in an eddy. 
effrontery:   n. Unblushing impudence. 
gambol:   n. Playful leaping or frisking. 
omission:   n. Exclusion. 
urban:   adj. Of, or pertaining to, or like a city. 
obdurate:   adj. Impassive to feelings of humanity or pity. 
forte:   n. A strong point. 
enjoin:   v. To command. 
dispel:   v. To drive away by or as by scattering in different directions. 
onus:   n. A burden or responsibility. 
dismissal:   n. Displacement by authority from an office or an employment. 
antonym:   n. A word directly opposed to another in meaning. 
concur:   v. To agree. 
dissolute:   adj. Lewd. 
emblem:   n. A symbol. 
pauper:   n. One without means of support. 
tilth:   n. Cultivation. 
exorbitant:   adj. Going beyond usual and proper limits. 
equilibrium:   n. A state of balance. 
blithe:   adj. Joyous. 
nestle:   v. To adjust cozily in snug quarters. 
perturb:   v. To disturb greatly. 
moribund:   adj. On the point of dying. 
nectar:   n. Any especially sweet and delicious drink. 
retouch:   v. To modify the details of. 
fruition:   n. Fulfillment. 
immeasurable:   adj. Indefinitely extensive. 
divert:   v. To turn from the accustomed course or a line of action already established. 
collapsible:   adj. That may or can collapse. 
ichthyology:   n. The branch of zoology that treats of fishes. 
kiln:   n. An oven or furnace for baking, burning, or drying industrial products. 
sense:   n. The signification conveyed by some word, phrase, or action. 
introvert:   v. To turn within. 
foot-note:   n. A note of explanation or comment at the foot of a page or column. 
transmission:   n. The act of sending through or across. 
vulgarity:   n. Lack of refinement in conduct or speech. 
submittal:   n. The act of submitting. 
disburden:   v. To disencumber. 
lackadaisical:   adj. Listless. 
bereave:   v. To make desolate with loneliness and grief. 
imperturbable:   adj. Calm. 
macadamize:   v. To cover or pave, as a path or roadway, with small broken stone. 
blazon:   v. To make widely or generally known. 
irrational:   adj. Not possessed of reasoning powers or understanding. 
disreputable:   adj. Dishonorable or disgraceful. 
vulnerable:   adj. Capable of receiving injuries. 
extravagance:   n. Undue expenditure of money. 
recreant:   n. A cowardly or faithless person. 
consul:   n. An officer appointed to reside in a foreign city, chiefly to represent his country. 
expectancy:   n. The act or state of looking forward to as certain or probable. 
turgid:   adj. Swollen. 
sacrilege:   n. The act of violating or profaning anything sacred. 
complacence:   n. Satisfaction with one's acts or surroundings. 
embarrass:   v. To render flustered or agitated. 
velvety:   adj. Marked by lightness and softness. 
monotone:   n. The sameness or monotony of utterance. 
finite:   adj. Limited. 
unwieldy:   adj. Moved or managed with difficulty, as from great size or awkward shape. 
overdo:   v. To overtax the strength of. 
whet:   v. To make more keen or eager. 
encamp:   v. To pitch tents for a resting-place. 
hackney:   v. To make stale or trite by repetition. 
mitigate:   v. To make milder or more endurable. 
characterize:   v. To describe by distinctive marks or peculiarities. 
beatitude:   n. Any state of great happiness. 
reflexible:   adj. Capable of being reflected. 
impassable:   adj. That can not be passed through or over. 
physiology:   n. The science of organic functions. 
lawgiver:   n. A legislator. 
olive-branch:   n. A branch of the olive-tree, as an emblem of peace. 
unbridled:   adj. Being without restraint. 
lenient:   adj. Not harsh. 
appellation:   n. The name or title by which a particular person, class, or thing is called. 
satire:   n. The employment of sarcasm, irony, or keenness of wit in ridiculing vices. 
vigilant:   adj. Being on the alert to discover and ward off danger or insure safety. 
preexist:   v. To exist at a period or in a state earlier than something else. 
lave:   v. To wash or bathe. 
devout:   adj. Religious. 
coincident:   adj. Taking place at the same time. 
prate:   v. To talk about vainly or foolishly. 
canto:   n. One of the divisions of an extended poem. 
jugglery:   n. The art or practice of sleight of hand. 
arboreal:   adj. Of or pertaining to a tree or trees. 
incongruous:   adj. Unsuitable for the time, place, or occasion. 
redound:   n. Rebound. 
penchant:   n. A bias in favor of something. 
undermine:   v. To subvert in an underhand way. 
opportune:   adj. Especially fit as occurring, said, or done at the right moment. 
coercion:   n. Forcible constraint or restraint, moral or physical. 
sextet:   n. A band of six singers or players. 
archbishop:   n. The chief of the bishops of an ecclesiastical province in the Greek, Roman, and Anglican church.
indescribable:   adj. That can not be described. 
accomplice:   n. An associate in wrong-doing. 
recapture:   v. To capture again. 
normalcy:   n. The state of being normal. 
scintilla:   n. The faintest ray. 
panorama:   n. A series of large pictures representing a continuous scene. 
purveyor:   n. one who supplies 
physiocracy:   n. The doctrine that land and its products are the only true wealth. 
invective:   n. An utterance intended to cast censure, or reproach. 
infallible:   adj. Exempt from error of judgment, as in opinion or statement. 
needy:   adj. Being in need, want, or poverty. 
deign:   v. To deem worthy of notice or account. 
efficacy:   n. The power to produce an intended effect as shown in the production of it. 
brokerage:   n. The business of making sales and purchases for a commission; a broker. 
encompass:   v. To encircle. 
ichthyosaurs:   n. A fossil reptile. 
witling:   n. A person who has little understanding. 
meager:   adj. scanty. 
brevity:   n. Shortness of duration. 
variable:   adj. Having a tendency to change. 
assassination:   n. Murderer, as by secret assault or treachery. 
maroon:   v. To put ashore and abandon (a person) on a desolate coast or island. 
estuary:   n. A wide lower part of a tidal river. 
dedication:   n. The voluntary consecration or relinquishment of something to an end or cause. 
guess:   n. Surmise. 
contuse:   v. To bruise by a blow, either with or without the breaking of the skin. 
distiller:   n. One occupied in the business of distilling alcoholic liquors. 
incipience:   n. Beginning. 
indict:   v. To find and declare chargeable with crime. 
treacherous:   adj. Perfidious. 
knickknack:   n. A small article, more for ornament that use. 
hydrous:   adj. Watery. 
carnivorous:   adj. Eating or living on flesh. 
commute:   v. To put something, especially something less severe, in place of. 
preoccupation:   n. The state of having the mind, attention, or inclination preoccupied. 
amalgamate:   v. To mix or blend together in a homogeneous body. 
seduce:   v. To entice to surrender chastity. 
antitoxin:   n. A substance which neutralizes the poisonous products of micro-organisms. 
finale:   n. Concluding performance. 
lodgment:   n. The act of furnishing with temporary quarters. 
ostracize:   v. To exclude from public or private favor. 
comprehensible:   adj. Intelligible. 
theological:   adj. Based on or growing out of divine revelation. 
giddy:   adj. Affected with a whirling or swimming sensation in the head. 
tenet:   n. Any opinion, principle, dogma, or doctrine that a person believes or maintains as true. 
vapid:   adj. Having lost sparkling quality and flavor. 
lexicon:   n. A dictionary. 
countervail:   v. To offset. 
intolerant:   adj. Bigoted. 
garnish:   v. In cookery, to surround with additions for embellishment. 
unconscionable:   adj. Ridiculously or unjustly excessive. 
rabid:   adj. Affected with rabies or hydrophobia. 
landmark:   n. A familiar object in the landscape serving as a guide to an area otherwise easily lost track of. 
appease:   v. To soothe by quieting anger or indignation. 
upcast:   n. A throwing upward. 
distend:   v. To stretch out or expand in every direction. 
man-trap:   n. A place or structure dangerous to human life. 
arrangement:   n. The act of putting in proper order, or the state of being put in order. 
semicivilized:   adj. Half-civilized. 
dissonant:   adj. Harsh or disagreeable in sound. 
guise:   n. The external appearance as produced by garb or costume. 
permissible:   adj. That may be allowed. 
ascetic:   adj. Given to severe self-denial and practicing excessive abstinence and devotion. 
duplex:   adj. Having two parts. 
inconsequential:   adj. Valueless. 
pantomime:   n. Sign-language. 
grief:   n. Sorrow. 
well-to-do:   adj. In prosperous circumstances. 
sagacious:   adj. Able to discern and distinguish with wise perception. 
solvent:   adj. Having sufficient funds to pay all debts. 
corruptible:   adj. Open to bribery. 
inconsiderable:   adj. Small in quantity or importance. 
discomfit:   v. To put to confusion. 
antecedent:   n. One who or that which precedes or goes before, as in time, place, rank, order, or causality. 
minority:   n. The smaller in number of two portions into which a number or a group is divided. 
placate:   v. To bring from a state of angry or hostile feeling to one of patience or friendliness. 
invalidate:   v. To render of no force or effect. 
synod:   n. An ecclesiastical council. 
allusion:   n. An indirect and incidental reference to something without definite mention of it. 
deplore:   v. To regard with grief or sorrow. 
regenerate:   v. To reproduce. 
gullible:   adj. Credulous. 
usury:   n. The demanding for the use of money as a loan, a rate of interest beyond what is allowed by law. 
neo-Latin:   n. Modernized Latin. 
indivisible:   adj. Not separable into parts. 
distention:   n. Expansion. 
misanthropy:   n. Hatred of mankind. 
academic:   adj. Of or pertaining to an academy, college, or university. 
bequeath:   v. To give by will. 
accouter:   v. To dress. 
stipend:   n. A definite amount paid at stated periods in compensation for services or as an allowance. 
resonate:   v. To have or produce resonance. 
radical:   n. One who holds extreme views or advocates extreme measures. 
gastric:   adj. Of, pertaining to, or near the stomach. 
presumption:   n. That which may be logically assumed to be true until disproved. 
contemplate:   v. To consider thoughtfully. 
galvanism:   n. Current electricity, especially that arising from chemical action. 
homogeneity:   n. Congruity of the members or elements or parts. 
qualm:   n. A fit of nausea. 
ceremonial:   adj. Characterized by outward form or ceremony. 
monograph:   n. A treatise discussing a single subject or branch of a subject. 
hexapod:   adj. Having six feet. 
impend:   v. To be imminent. 
occupant:   n. A tenant in possession of property, as distinguished from the actual owner. 
profile:   n. An outline or contour. 
trio:   n. Three things grouped or associated together. 
gamester:   n. A gambler. 
convalescent:   adj. Recovering health after sickness. 
severance:   n. Separation. 
ingratiate:   v. To win confidence or good graces for oneself. 
lien:   n. A legal claim or hold on property, as security for a debt or charge. 
antemundane:   adj. Pertaining to time before the world's creation. 
gourd:   n. A melon, pumpkin, squash, or some similar fruit having a hard rind. 
memento:   n. A souvenir. 
veto:   n. The constitutional right in a chief executive of refusing to approve an enactment. 
trinity:   n. A threefold personality existing in the one divine being or substance. 
cholera:   n. An acute epidemic disease. 
protective:   adj. Sheltering. 
fraternal:   adj. Brotherly. 
descent:   n. The act of moving or going downward. 
neutral:   adj. Belonging to or under control of neither of two contestants. 
inarticulate:   adj. Speechless. 
lune:   n. The moon. 
fulminate:   v. To cause to explode. 
volant:   adj. Flying or able to fly. 
asperity:   n. Harshness or roughness of temper. 
objector:   n. One who objects, as to a proposition, measure, or ruling. 
sequester:   v. To cause to withdraw or retire, as from society or public life. 
assessor:   n. An officer whose duty it is to assess taxes. 
privilege:   n. A right or immunity not enjoyed by all, or that may be enjoyed only under special conditions. 
vitalize:   v. To endow with life or energy. 
abnormal:   adj. Not conformed to the ordinary rule or standard. 
landholder:   n. Landowner. 
futurist:   n. A person of expectant temperament. 
prelacy:   n. A system of church government. 
fealty:   n. Loyalty. 
feasible:   adj. That may be done, performed, or effected; practicable. 
eugenic:   adj. Relating to the development and improvement of race. 
vermin:   n. A noxious or troublesome animal. 
suspension:   n. A hanging from a support. 
sonnet:   n. A poem of fourteen decasyllabic or octosyllabiclines expressing two successive phrases. 
cant:   v. To talk in a singsong, preaching tone with affected solemnity. 
gusto:   n. Keen enjoyment. 
fallacious:   adj. Illogical. 
opaque:   adj. Impervious to light. 
elude:   v. To evade the search or pursuit of by dexterity or artifice. 
designate:   v. To select or appoint, as by authority. 
homonym:   n. A word agreeing in sound with but different in meaning from another. 
generic:   adj. Noting a genus or kind; opposed to specific. 
hustle:   v. To move with haste and promptness. 
raucous:   adj. Harsh. 
benefactor:   n. A doer of kindly and charitable acts. 
impeccable:   adj. Blameless. 
didactic:   adj. Pertaining to teaching. 
foresee:   v. To discern beforehand. 
soprano:   n. A woman's or boy's voice of high range. 
subtrahend:   n. That which is to be subtracted. 
inadequate:   adj. Insufficient. 
loot:   v. To plunder. 
countercharge:   v. To accuse in return. 
aggravation:   n. The fact of being made heavier or more heinous, as a crime , offense, misfortune, etc. 
acetic:   adj. Of, pertaining to, or of the nature of vinegar. 
theologian:   n. A professor of divinity. 
trait:   n. A distinguishing feature or quality. 
antenatal:   adj. Occurring or existing before birth. 
originate:   v. To cause or constitute the beginning or first stage of the existence of. 
foreign:   adj. Belonging to, situated in, or derived from another country. 
ignoble:   adj. Low in character or purpose. 
bric-a-brac:   n. Objects of curiosity or for decoration. 
resistless:   adj. Powerless. 
meander:   v. To wind and turn while proceeding in a course. 
successor:   n. One who or that which takes the place of a predecessor or preceding thing. 
libel:   n. Defamation. 
battalion:   n. A body of infantry composed of two or more companies, forming a part of a regiment. 
viscount:   n. In England, a title of nobility, ranking fourth in the order of British peerage. 
depth:   n. Deepness. 
deviate:   v. To take a different course. 
salacious:   adj. Having strong sexual desires. 
accost:   v. To speak to. 
endue:   v. To endow with some quality, gift, or grace, usually spiritual. 
stupendous:   adj. Of prodigious size, bulk, or degree. 
odoriferous:   adj. Having or diffusing an odor or scent, especially an agreeable one. 
presentment:   n. Semblance. 
secrecy:   n. Concealment. 
unlawful:   adj. Illegal. 
sensual:   adj. Pertaining to the body or the physical senses. 
expiate:   v. To make satisfaction or amends for. 
blithesome:   adj. Cheerful. 
expressive:   adj. Full of meaning. 
cabinet:   n. The body of men constituting the official advisors of the executive head of a nation. 
pacify:   v. To bring into a peaceful state. 
assignee:   n. One who is appointed to act for another in the management of certain property and interests. 
captivate:   v. To fascinate, as by excellence. eloquence, or beauty. 
hardihood:   n. Foolish daring. 
denude:   v. To strip the covering from. 
pugnacious:   adj. Quarrelsome. 
junction:   n. The condition of being joined. 
inadvertent:   adj. Accidental. 
lateral:   adj. Directed toward the side. 
luminary:   n. One of the heavenly bodies as a source of light. 
further:   adj. More distant or advanced. 
philander:   v. To play at courtship with a woman. 
hospitality:   n. The practice of receiving and entertaining strangers and guests with kindness. 
expediency:   n. Fitness to meet the requirements of a particular case. 
beck:   v. To give a signal to, by nod or gesture. 
introspect:   v. To look into. 
interrogatory:   n. A question or inquiry. 
accordion:   n. A portable free-reed musical instrument. 
adoration:   n. Profound devotion. 
derivative:   adj. Coming or acquired from some origin. 
proxy:   n. A person who is empowered by another to represent him or her in a given matter. 
persecution:   n. Harsh or malignant oppression. 
accessible:   adj. Approachable. 
adulterant:   n. An adulterating substance. 
monitory:   n. Admonition or warning. 
excel:   v. To be superior or distinguished. 
exempt:   adj. Free, clear, or released, as from some liability, or restriction affecting others. 
protuberate:   v. To swell or bulge beyond the surrounding surface. 
accredit:   v. To give credit or authority to. 
perfidy:   n. Treachery. 
lattice:   n. Openwork of metal or wood, formed by crossing or interlacing strips or bars. 
inevitable:   adj. Unavoidable. 
perform:   v. To accomplish. 
separable:   adj. Capable of being disjoined or divided. 
immense:   adj. Very great in degree, extent, size, or quantity. 
perspicacious:   adj. Astute. 
oakum:   n. Hemp-fiber obtained by untwisting and picking out loosely the yarns of old hemp rope. 
